Beneficiários por Município
Assistência Médica por Município
Período:Dez/2022
"Município";"Assistência_Médica"
"291130 Gentio do Ouro";59
"291140 Glória";162
"291150 Gongogi";81
"291160 Governador Mangabeira";427
"291165 Guajeru";22
"291170 Guanambi";4681
"291180 Guaratinga";349
"291185 Heliópolis";36
"291190 Iaçu";469
"291200 Ibiassucê";79
"291210 Ibicaraí";836
"291220 Ibicoara";140
"291230 Ibicuí";178
"291240 Ibipeba";29
"291250 Ibipitanga";40
"291260 Ibiquera";14
"291270 Ibirapitanga";261
"291280 Ibirapuã";500
"291290 Ibirataia";256
"291300 Ibitiara";65
"291310 Ibititá";113
"291320 Ibotirama";535
"291330 Ichu";68
"291340 Igaporã";122
"291345 Igrapiúna";345
"291350 Iguaí";206
"291360 Ilhéus";24368
"291370 Inhambupe";1152
"291380 Ipecaetá";194
"291390 Ipiaú";3295
"291400 Ipirá";1507
"291410 Ipupiara";46
"291420 Irajuba";23
"291430 Iramaia";99
"291440 Iraquara";420
"291450 Irará";1035
"291460 Irecê";3294
"291465 Itabela";1479
"291470 Itaberaba";3002
"291480 Itabuna";38402
"291490 Itacaré";609
"291500 Itaeté";114
"291510 Itagi";69
"291520 Itagibá";1242
"291530 Itagimirim";409
"291535 Itaguaçu da Bahia";30
"291540 Itaju do Colônia";73
"291550 Itajuípe";1100
"291560 Itamaraju";2776
"291570 Itamari";31
"291580 Itambé";377
"291590 Itanagra";101
"291600 Itanhém";391
"291610 Itaparica";810
"291620 Itapé";303
"291630 Itapebi";342
"291640 Itapetinga";4005
"291650 Itapicuru";58
"291660 Itapitanga";86
"291670 Itaquara";44
"291680 Itarantim";494
"291685 Itatim";471
"291690 Itiruçu";121
"291700 Itiúba";417
"291710 Itororó";495
"291720 Ituaçu";215
"291730 Ituberá";446
"291733 Iuiú";47
"291735 Jaborandi";89
"291740 Jacaraci";83
"291750 Jacobina";10463
"291760 Jaguaquara";777
"291770 Jaguarari";9848
"291780 Jaguaripe";85
"291790 Jandaíra";49
"291800 Jequié";11118
"291810 Jeremoabo";341
"291820 Jiquiriçá";78
"291830 Jitaúna";187
"291835 João Dourado";253
"291840 Juazeiro";33181
"291845 Jucuruçu";19
"291850 Jussara";86
"291855 Jussari";95
"291860 Jussiape";48
"291870 Lafaiete Coutinho";41
"291875 Lagoa Real";37
"291880 Laje";263
"291890 Lajedão";75
"291900 Lajedinho";8
"291905 Lajedo do Tabocal";25
"291910 Lamarão";74
"291915 Lapão";207
"291920 Lauro de Freitas";74552
"291930 Lençóis";225
"291940 Licínio de Almeida";219
"291950 Livramento de Nossa Senhora";733
"291955 Luís Eduardo Magalhães";7242
"291960 Macajuba";93
"291970 Macarani";749
"291980 Macaúbas";480
"291990 Macururé";25
"291992 Madre de Deus";1649
"291995 Maetinga";74
"292000 Maiquinique";279
"292010 Mairi";205
"292020 Malhada";110
"292030 Malhada de Pedras";38
"292040 Manoel Vitorino";111
"292045 Mansidão";25
"292050 Maracás";1942
"292060 Maragogipe";522
"292070 Maraú";233
"292080 Marcionílio Souza";25
"292090 Mascote";108
"292100 Mata de São João";5058
"292105 Matina";156
"292110 Medeiros Neto";800
"292120 Miguel Calmon";514
"292130 Milagres";116
"292140 Mirangaba";65
"292145 Mirante";75
"292150 Monte Santo";245
"292160 Morpará";27
"292170 Morro do Chapéu";590
"292180 Mortugaba";80
"292190 Mucugê";150
"292200 Mucuri";6917
"292205 Mulungu do Morro";38
"292210 Mundo Novo";269
"292220 Muniz Ferreira";167
"292225 Muquém de São Francisco";30
"292230 Muritiba";897
"292240 Mutuípe";456
"292250 Nazaré";934
"292260 Nilo Peçanha";55
"292265 Nordestina";585
"292270 Nova Canaã";128
"292273 Nova Fátima";98
"292275 Nova Ibiá";26
"292280 Nova Itarana";57
"292285 Nova Redenção";33
"292290 Nova Soure";174
"292300 Nova Viçosa";4204
"292303 Novo Horizonte";97
"292305 Novo Triunfo";21
"292310 Olindina";154
"292320 Oliveira dos Brejinhos";114
"292330 Ouriçangas";236
"292335 Ourolândia";198
"292340 Palmas de Monte Alto";142
"292350 Palmeiras";154
"292360 Paramirim";260
"292370 Paratinga";130
"292380 Paripiranga";531
"292390 Pau Brasil";93
"292400 Paulo Afonso";9035
"292405 Pé de Serra";126
"292410 Pedrão";50
"292420 Pedro Alexandre";32
"292430 Piatã";202
"292440 Pilão Arcado";129
"292450 Pindaí";158
"292460 Pindobaçu";166
"292465 Pintadas";141
"292467 Piraí do Norte";25
"292470 Piripá";181
"292480 Piritiba";225
"292490 Planaltino";52
"292500 Planalto";700
"292510 Poções";1261
"292520 Pojuca";7253
"292525 Ponto Novo";104
"292530 Porto Seguro";11598
"292540 Potiraguá";73
"292550 Prado";823
"292560 Presidente Dutra";264
"292570 Presidente Jânio Quadros";65
"292575 Presidente Tancredo Neves";167
"292580 Queimadas";233
"292590 Quijingue";93
"292593 Quixabeira";28
"292595 Rafael Jambeiro";236
"292600 Remanso";777
"292610 Retirolândia";86
"292620 Riachão das Neves";131
"292630 Riachão do Jacuípe";949
"292640 Riacho de Santana";368
"292650 Ribeira do Amparo";35
"292660 Ribeira do Pombal";2027
"292665 Ribeirão do Largo";88
"292670 Rio de Contas";189
"292680 Rio do Antônio";95
"292690 Rio do Pires";52
"292700 Rio Real";746
"292710 Rodelas";59
"292720 Ruy Barbosa";355
"292730 Salinas da Margarida";264
"292740 Salvador";810765
"292750 Santa Bárbara";636
"292760 Santa Brígida";70
"292770 Santa Cruz Cabrália";1055
"292780 Santa Cruz da Vitória";84
"292790 Santa Inês";230
"292805 Santa Luzia";218
"292810 Santa Maria da Vitória";753
"292840 Santa Rita de Cássia";162
"292850 Santa Teresinha";81
"292800 Santaluz";2149
"292820 Santana";342
"292830 Santanópolis";159
"292860 Santo Amaro";3725
"292870 Santo Antônio de Jesus";9625
"292880 Santo Estêvão";2218
"292890 São Desidério";491
"292895 São Domingos";66
"292910 São Felipe";388
"292900 São Félix";174
"292905 São Félix do Coribe";180
"292920 São Francisco do Conde";1510
"292925 São Gabriel";145
"292930 São Gonçalo dos Campos";3025
"292935 São José da Vitória";78
"292937 São José do Jacuípe";48
"292940 São Miguel das Matas";174
"292950 São Sebastião do Passé";4477
"292960 Sapeaçu";400
"292970 Sátiro Dias";46
"292975 Saubara";216
"292980 Saúde";109
"292990 Seabra";1009
"293000 Sebastião Laranjeiras";14
"293010 Senhor do Bonfim";5003
"293020 Sento Sé";713
"293015 Serra do Ramalho";136
"293030 Serra Dourada";78
"293040 Serra Preta";270
"293050 Serrinha";6716
"293060 Serrolândia";121
"293070 Simões Filho";18186
"293075 Sítio do Mato";26
"293076 Sítio do Quinto";19
"293077 Sobradinho";1796
"293080 Souto Soares";42
"293090 Tabocas do Brejo Velho";61
"293100 Tanhaçu";441
"293105 Tanque Novo";80
"293110 Tanquinho";238
"293120 Taperoá";136
"293130 Tapiramutá";69
"293135 Teixeira de Freitas";21226
"293140 Teodoro Sampaio";107
"293150 Teofilândia";2031
"293160 Teolândia";84
"293170 Terra Nova";228
"293180 Tremedal";121
"293190 Tucano";704
"293200 Uauá";704
"293210 Ubaíra";194
"293220 Ubaitaba";747
"293230 Ubatã";509
"293240 Uibaí";210
"293245 Umburanas";149
"293250 Una";1505
"293260 Urandi";158
"293270 Uruçuca";940
"293280 Utinga";217
"293290 Valença";3484
"293300 Valente";466
"293305 Várzea da Roça";619
"293310 Várzea do Poço";40
"293315 Várzea Nova";53
"293317 Varzedo";135
"293320 Vera Cruz";1277
"293325 Vereda";67
"293330 Vitória da Conquista";54963
"293340 Wagner";40
"293345 Wanderley";46
"293350 Wenceslau Guimarães";90
"293360 Xique-Xique";432
"290000 Município ignorado - BA";29
"310010 Abadia dos Dourados";547
"310020 Abaeté";3227
"310030 Abre Campo";889
"310040 Acaiaca";287
"310050 Açucena";1239
"310060 Água Boa";196
"310070 Água Comprida";258
"310080 Aguanil";418
"310090 Águas Formosas";1000
"310100 Águas Vermelhas";182
"310110 Aimorés";2506
"310120 Aiuruoca";228
"310130 Alagoa";307
"310140 Albertina";288
"310150 Além Paraíba";7127
"310160 Alfenas";18173
"310163 Alfredo Vasconcelos";536
"310170 Almenara";3408
"310180 Alpercata";602
"310190 Alpinópolis";1415
"310200 Alterosa";722
"310205 Alto Caparaó";200
"315350 Alto Jequitibá";292
"310210 Alto Rio Doce";395
"310220 Alvarenga";51
"310230 Alvinópolis";2361
"310240 Alvorada de Minas";341
"310250 Amparo do Serra";249
"310260 Andradas";7738
"310280 Andrelândia";774
"310285 Angelândia";70
"310290 Antônio Carlos";1748
"310300 Antônio Dias";2283
"310310 Antônio Prado de Minas";65
"310320 Araçaí";268
"310330 Aracitaba";34
"310340 Araçuaí";2439
"310350 Araguari";28697
"310360 Arantina";243
"310370 Araponga";141
"310375 Araporã";1890
"310380 Arapuá";853
"310390 Araújos";4405
"310400 Araxá";36253
"310410 Arceburgo";2111
"310420 Arcos";11830
"310430 Areado";3278
"310440 Argirita";174
"310445 Aricanduva";51
"310450 Arinos";579
"310460 Astolfo Dutra";1416
"310470 Ataléia";479
"310480 Augusto de Lima";183
"310490 Baependi";3937
"310500 Baldim";399
"310510 Bambuí";4042
"310520 Bandeira";38
"310530 Bandeira do Sul";884
"310540 Barão de Cocais";11978
"310550 Barão de Monte Alto";157
"310560 Barbacena";32904
"310570 Barra Longa";461
"310590 Barroso";3627
"310600 Bela Vista de Minas";2581
"310610 Belmiro Braga";303
"310620 Belo Horizonte";1247333
"310630 Belo Oriente";5762
"310640 Belo Vale";1166
"310650 Berilo";158
"310665 Berizal";41
"310660 Bertópolis";46
"310670 Betim";156322
"310680 Bias Fortes";79
"310690 Bicas";2712
"310700 Biquinhas";132
"310710 Boa Esperança";4739
"310720 Bocaina de Minas";150
"310730 Bocaiúva";3398
"310740 Bom Despacho";13229
"310750 Bom Jardim de Minas";1116
"310760 Bom Jesus da Penha";143
"310770 Bom Jesus do Amparo";537
"310780 Bom Jesus do Galho";968
"310790 Bom Repouso";338
"310800 Bom Sucesso";1478
"310810 Bonfim";432
"310820 Bonfinópolis de Minas";165
"310825 Bonito de Minas";65
"310830 Borda da Mata";1901
"310840 Botelhos";2422
"310850 Botumirim";143
"310870 Brás Pires";348
"310855 Brasilândia de Minas";3372
"310860 Brasília de Minas";1022
"310890 Brasópolis";1894
"310880 Braúnas";519
"310900 Brumadinho";15546
"310910 Bueno Brandão";482
"310920 Buenópolis";482
"310925 Bugre";276
"310930 Buritis";1245
"310940 Buritizeiro";1570
"310945 Cabeceira Grande";112
"310950 Cabo Verde";950
"310960 Cachoeira da Prata";457
"310970 Cachoeira de Minas";2477
"310270 Cachoeira de Pajeú";95
"310980 Cachoeira Dourada";600
"310990 Caetanópolis";2292
"311000 Caeté";11004
"311010 Caiana";90
"311020 Cajuri";288
"311030 Caldas";1243
"311040 Camacho";120
"311050 Camanducaia";5751
"311060 Cambuí";7675
"311070 Cambuquira";1400
"311080 Campanário";94
"311090 Campanha";1590
"311100 Campestre";1673
"311110 Campina Verde";2168
"311115 Campo Azul";13
"311120 Campo Belo";8076
"311130 Campo do Meio";425
"311140 Campo Florido";2780
"311150 Campos Altos";1037
"311160 Campos Gerais";1348
"311190 Cana Verde";156
"311170 Canaã";222
"311180 Canápolis";1057
"311200 Candeias";1248
"311205 Cantagalo";81
"311210 Caparaó";113
"311220 Capela Nova";135
"311230 Capelinha";3990
"311240 Capetinga";799
"311250 Capim Branco";2313
"311260 Capinópolis";2936
"311265 Capitão Andrade";221
"311270 Capitão Enéas";2183
"311280 Capitólio";981
"311290 Caputira";383
"311300 Caraí";278
"311310 Caranaíba";122
"311320 Carandaí";3977
"311330 Carangola";3437
"311340 Caratinga";15734
"311350 Carbonita";1663
"311360 Careaçu";602
"311370 Carlos Chagas";1711
"311380 Carmésia";67
"311390 Carmo da Cachoeira";783
"311400 Carmo da Mata";3001
"311410 Carmo de Minas";3591
"311420 Carmo do Cajuru";10709
"311430 Carmo do Paranaíba";4389
"311440 Carmo do Rio Claro";1559
"311450 Carmópolis de Minas";3315
"311455 Carneirinho";3180
"311460 Carrancas";339
"311470 Carvalhópolis";338
"311480 Carvalhos";319
"311490 Casa Grande";92
"311500 Cascalho Rico";51
"311510 Cássia";1952
"311530 Cataguases";15781
"311535 Catas Altas";1845
"311540 Catas Altas da Noruega";128
"311545 Catuji";280
"311547 Catuti";21
"311550 Caxambu";5267
"311560 Cedro do Abaeté";29
"311570 Central de Minas";242
"311580 Centralina";711
"311590 Chácara";291
"311600 Chalé";122
"311610 Chapada do Norte";139
"311615 Chapada Gaúcha";162
"311620 Chiador";173
"311630 Cipotânea";107
"311640 Claraval";367
"311650 Claro dos Poções";173
"311660 Cláudio";8345
"311670 Coimbra";633
"311680 Coluna";179
"311690 Comendador Gomes";370
"311700 Comercinho";87
"311710 Conceição da Aparecida";307
"311520 Conceição da Barra de Minas";319
"311730 Conceição das Alagoas";9668
"311720 Conceição das Pedras";64
"311740 Conceição de Ipanema";52
"311750 Conceição do Mato Dentro";5271
"311760 Conceição do Pará";1122
"311770 Conceição do Rio Verde";2575
"311780 Conceição dos Ouros";2106
"311783 Cônego Marinho";39
"311787 Confins";2531
"311790 Congonhal";1855
"311800 Congonhas";19967
"311810 Congonhas do Norte";342
"311820 Conquista";3310
"311830 Conselheiro Lafaiete";51584
"311840 Conselheiro Pena";3481
"311850 Consolação";65
"311860 Contagem";278886
"311870 Coqueiral";618
"311880 Coração de Jesus";444
"311890 Cordisburgo";557
"311900 Cordislândia";115
"311910 Corinto";1908
"311920 Coroaci";388
"311930 Coromandel";3152
"311940 Coronel Fabriciano";41847
"311950 Coronel Murta";85
"311960 Coronel Pacheco";383
"311970 Coronel Xavier Chaves";313
"311980 Córrego Danta";219
"311990 Córrego do Bom Jesus";367
"311995 Córrego Fundo";983
"312000 Córrego Novo";315
"312010 Couto de Magalhães de Minas";105
"312015 Crisólita";83
"312020 Cristais";531
"312030 Cristália";69
"312040 Cristiano Otoni";728
"312050 Cristina";2097
"312060 Crucilândia";244
"312070 Cruzeiro da Fortaleza";240
"312080 Cruzília";2344
"312083 Cuparaque";85
"312087 Curral de Dentro";132
"312090 Curvelo";13804
"312100 Datas";132
"312110 Delfim Moreira";562
"312120 Delfinópolis";691
"312125 Delta";3498
"312130 Descoberto";496
"312140 Desterro de Entre Rios";784
"312150 Desterro do Melo";117
"312160 Diamantina";5924
"312170 Diogo de Vasconcelos";91
"312180 Dionísio";753
"312190 Divinésia";665
"312200 Divino";749
"312210 Divino das Laranjeiras";164
"312220 Divinolândia de Minas";450
"312230 Divinópolis";134850
"312235 Divisa Alegre";164
"312240 Divisa Nova";350
"312245 Divisópolis";127
"312247 Dom Bosco";300
"312250 Dom Cavati";427
"312260 Dom Joaquim";664
"312270 Dom Silvério";395
"312280 Dom Viçoso";571
"312290 Dona Eusébia";425
"312300 Dores de Campos";1631
"312310 Dores de Guanhães";222
"312320 Dores do Indaiá";2302
"312330 Dores do Turvo";391
"312340 Doresópolis";74
"312350 Douradoquara";82
"312352 Durandé";311
"312360 Elói Mendes";4188
"312370 Engenheiro Caldas";779
"312380 Engenheiro Navarro";765
"312385 Entre Folhas";173
"312390 Entre Rios de Minas";2161
"312400 Ervália";776
"312410 Esmeraldas";13017
"312420 Espera Feliz";1107
"312430 Espinosa";583
"312440 Espírito Santo do Dourado";467
"312450 Estiva";2040
"312460 Estrela Dalva";164
"312470 Estrela do Indaiá";292
"312480 Estrela do Sul";871
"312490 Eugenópolis";573
"312500 Ewbank da Câmara";555
"312510 Extrema";26920
"312520 Fama";196
"312530 Faria Lemos";161
"312540 Felício dos Santos";83
"312560 Felisburgo";165
"312570 Felixlândia";1457
"312580 Fernandes Tourinho";153
"312590 Ferros";858
"312595 Fervedouro";171
"312600 Florestal";2941
"312610 Formiga";15186
"312620 Formoso";199
"312630 Fortaleza de Minas";250
"312640 Fortuna de Minas";228
"312650 Francisco Badaró";83
"312660 Francisco Dumont";71
"312670 Francisco Sá";714
"312675 Franciscópolis";97
"312680 Frei Gaspar";237
"312690 Frei Inocêncio";655
"312695 Frei Lagonegro";9
"312700 Fronteira";2814
"312705 Fronteira dos Vales";68
"312707 Fruta de Leite";51
"312710 Frutal";18181
"312720 Funilândia";300
"312730 Galiléia";405
"312733 Gameleiras";20
"312735 Glaucilândia";150
"312737 Goiabeira";93
"312738 Goianá";331
"312740 Gonçalves";361
"312750 Gonzaga";153
"312760 Gouveia";613
"312770 Governador Valadares";76477
"312780 Grão Mogol";436
"312790 Grupiara";25
"312800 Guanhães";5889
"312810 Guapé";370
"312820 Guaraciaba";366
"312825 Guaraciama";540
"312830 Guaranésia";3466
"312840 Guarani";1142
"312850 Guarará";340
"312860 Guarda-Mor";295
"312870 Guaxupé";13670
"312880 Guidoval";1579
"312890 Guimarânia";622
"312900 Guiricema";266
"312910 Gurinhatã";227
"312920 Heliodora";328
"312930 Iapu";1659
"312940 Ibertioga";305
"312950 Ibiá";3449
"312960 Ibiaí";163
"312965 Ibiracatu";42
"312970 Ibiraci";1516
"312980 Ibirité";44095
"312990 Ibitiúra de Minas";154
"313000 Ibituruna";61
"313005 Icaraí de Minas";56
"313010 Igarapé";12672
"313020 Igaratinga";2509
"313030 Iguatama";1624
"313040 Ijaci";1548
"313050 Ilicínea";200
"313055 Imbé de Minas";132
"313060 Inconfidentes";536
"313065 Indaiabira";37
"313070 Indianópolis";352
"313080 Ingaí";145
"313090 Inhapim";1569
"313100 Inhaúma";845
"313110 Inimutaba";477
"313115 Ipaba";3916
"313120 Ipanema";959
"313130 Ipatinga";108483
"313140 Ipiaçu";417
"313150 Ipuiúna";554
"313160 Iraí de Minas";328
"313170 Itabira";56399
"313180 Itabirinha";522
"313190 Itabirito";25180
"313200 Itacambira";94
"313210 Itacarambi";319
"313220 Itaguara";1230
"313230 Itaipé";231
"313240 Itajubá";30018
"313250 Itamarandiba";2452
"313260 Itamarati de Minas";323
"313270 Itambacuri";1328
"313280 Itambé do Mato Dentro";123
"313290 Itamogi";824
"313300 Itamonte";5156
"313310 Itanhandu";4324
"313320 Itanhomi";826
"313330 Itaobim";1384
"313340 Itapagipe";3997
"313350 Itapecerica";6436
"313360 Itapeva";3222
"313370 Itatiaiuçu";4054
"313375 Itaú de Minas";2558
"313380 Itaúna";31715
"313390 Itaverava";235
"313400 Itinga";403
"313410 Itueta";250
"313420 Ituiutaba";24670
"313430 Itumirim";552
"313440 Iturama";12637
"313450 Itutinga";383
"313460 Jaboticatubas";1597
"313470 Jacinto";229
"313480 Jacuí";582
"313490 Jacutinga";3316
"313500 Jaguaraçu";643
"313505 Jaíba";4276
"313507 Jampruca";57
"313510 Janaúba";6187
"313520 Januária";3666
"313530 Japaraíba";828
"313535 Japonvar";48
"313540 Jeceaba";866
"313545 Jenipapo de Minas";62
"313550 Jequeri";648
"313560 Jequitaí";164
"313570 Jequitibá";239
"313580 Jequitinhonha";984
"313590 Jesuânia";872
"313600 Joaíma";453
"313610 Joanésia";585
"313620 João Monlevade";25384
"313630 João Pinheiro";5476
"313640 Joaquim Felício";82
"313650 Jordânia";205
"313652 José Gonçalves de Minas";36
"313655 José Raydan";47
"313657 Josenópolis";80
"313665 Juatuba";11045
"313670 Juiz de Fora";217087
"313680 Juramento";246
"313690 Juruaia";651
"313695 Juvenília";24
"313700 Ladainha";346
"313710 Lagamar";852
"313720 Lagoa da Prata";14704
"313730 Lagoa dos Patos";50
"313740 Lagoa Dourada";897
"313750 Lagoa Formosa";1929
"313753 Lagoa Grande";565
"313760 Lagoa Santa";22054
"313770 Lajinha";1059
"313780 Lambari";4293
"313790 Lamim";85
"313800 Laranjal";303
"313810 Lassance";219
"313820 Lavras";31489
"313830 Leandro Ferreira";604
"313835 Leme do Prado";107
"313840 Leopoldina";7613
"313850 Liberdade";377
"313860 Lima Duarte";2272
"313862 Limeira do Oeste";3724
"313865 Lontra";100
"313867 Luisburgo";215
"313868 Luislândia";50
"313870 Luminárias";413
"313880 Luz";3383
"313890 Machacalis";170
"313900 Machado";10578
"313910 Madre de Deus de Minas";519
"313920 Malacacheta";763
"313925 Mamonas";22
"313930 Manga";300
"313940 Manhuaçu";15635
"313950 Manhumirim";1851
"313960 Mantena";2215
"313980 Mar de Espanha";1537
"313970 Maravilhas";606
"313990 Maria da Fé";2055
"314000 Mariana";23628
"314010 Marilac";251
"314015 Mário Campos";4532
"314020 Maripá de Minas";431
"314030 Marliéria";601
"314040 Marmelópolis";55
"314050 Martinho Campos";2622
"314053 Martins Soares";329
"314055 Mata Verde";85
"314060 Materlândia";71
"314070 Mateus Leme";11852
"317150 Mathias Lobato";134
"314080 Matias Barbosa";3570
"314085 Matias Cardoso";106
"314090 Matipó";1377
"314100 Mato Verde";221
"314110 Matozinhos";10994
"314120 Matutina";334
"314130 Medeiros";127
"314140 Medina";644
"314150 Mendes Pimentel";335
"314160 Mercês";539
"314170 Mesquita";956
"314180 Minas Novas";1004
"314190 Minduri";486
"314200 Mirabela";239
"314210 Miradouro";384
"314220 Miraí";792
"314225 Miravânia";19
"314230 Moeda";1326
"314240 Moema";1015
"314250 Monjolos";44
"314260 Monsenhor Paulo";905
"314270 Montalvânia";213
"314280 Monte Alegre de Minas";1955
"314290 Monte Azul";419
"314300 Monte Belo";2188
"314310 Monte Carmelo";4176
"314315 Monte Formoso";25
"314320 Monte Santo de Minas";1901
"314340 Monte Sião";1944
"314330 Montes Claros";97123
"314345 Montezuma";60
"314350 Morada Nova de Minas";621
"314360 Morro da Garça";67
"314370 Morro do Pilar";254
"314380 Munhoz";285
"314390 Muriaé";16137
"314400 Mutum";565
"314410 Muzambinho";2110
"314420 Nacip Raydan";66
"314430 Nanuque";4715
"314435 Naque";1202
"314437 Natalândia";66
"314440 Natércia";230
"314450 Nazareno";840
"314460 Nepomuceno";3347
"314465 Ninheira";25
"314467 Nova Belém";54
"314470 Nova Era";5453
"314480 Nova Lima";61967
"314490 Nova Módica";85
"314500 Nova Ponte";3904
"314505 Nova Porteirinha";163
"314510 Nova Resende";638
"314520 Nova Serrana";26149
"313660 Nova União";659
"314530 Novo Cruzeiro";724
"314535 Novo Oriente de Minas";320
"314537 Novorizonte";74
"314540 Olaria";74
"314545 Olhos-d'Água";92
"314550 Olímpio Noronha";467
"314560 Oliveira";10639
"314570 Oliveira Fortes";102
"314580 Onça de Pitangui";247
"314585 Oratórios";354
"314587 Orizânia";160
"314590 Ouro Branco";16254
"314600 Ouro Fino";4431
"314610 Ouro Preto";26739
"314620 Ouro Verde de Minas";200
"314625 Padre Carvalho";272
"314630 Padre Paraíso";506
"314655 Pai Pedro";21
"314640 Paineiras";376
"314650 Pains";1660
"314660 Paiva";43
"314670 Palma";248
"314675 Palmópolis";21
"314690 Papagaios";1417
"314710 Pará de Minas";28083
"314700 Paracatu";23599
"314720 Paraguaçu";3335
"314730 Paraisópolis";6211
"314740 Paraopeba";5144
"314760 Passa Quatro";3702
"314770 Passa Tempo";1347
"314780 Passa-Vinte";104
"314750 Passabém";104
"314790 Passos";24898
"314795 Patis";25
"314800 Patos de Minas";54106
"314810 Patrocínio";18224
"314820 Patrocínio do Muriaé";342
"314830 Paula Cândido";485
"314840 Paulistas";234
"314850 Pavão";326
"314860 Peçanha";930
"314870 Pedra Azul";1858
"314875 Pedra Bonita";43
"314880 Pedra do Anta";173
"314890 Pedra do Indaiá";1723
"314900 Pedra Dourada";46
"314910 Pedralva";1125
"314915 Pedras de Maria da Cruz";73
"314920 Pedrinópolis";396
"314930 Pedro Leopoldo";18685
"314940 Pedro Teixeira";44
"314950 Pequeri";506
"314960 Pequi";337
"314970 Perdigão";3467
"314980 Perdizes";2544
"314990 Perdões";2965
"314995 Periquito";1051
"315000 Pescador";95
"315010 Piau";349
"315015 Piedade de Caratinga";226
"315020 Piedade de Ponte Nova";343
"315030 Piedade do Rio Grande";87
"315040 Piedade dos Gerais";189
"315050 Pimenta";658
"315053 Pingo-d'Água";898
"315057 Pintópolis";22
"315060 Piracema";649
"315070 Pirajuba";2627
"315080 Piranga";521
"315090 Piranguçu";704
"315100 Piranguinho";1710
"315110 Pirapetinga";2467
"315120 Pirapora";9741
"315130 Piraúba";1375
"315140 Pitangui";8696
"315150 Piumhi";4203
"315160 Planura";2983
"315170 Poço Fundo";2077
"315180 Poços de Caldas";76345
"315190 Pocrane";173
"315200 Pompéu";3732
"315210 Ponte Nova";14571
"315213 Ponto Chique";21
"315217 Ponto dos Volantes";205
"315220 Porteirinha";1879
"315230 Porto Firme";214
"315240 Poté";595
"315250 Pouso Alegre";67505
"315260 Pouso Alto";1934
"315270 Prados";902
"315280 Prata";3982
"315290 Pratápolis";909
"315300 Pratinha";166
"315310 Presidente Bernardes";153
"315320 Presidente Juscelino";107
"315330 Presidente Kubitschek";73
"315340 Presidente Olegário";1799
"315360 Prudente de Morais";2264
"315370 Quartel Geral";295
"315380 Queluzito";177
"315390 Raposos";4962
"315400 Raul Soares";1671
"315410 Recreio";589
"315415 Reduto";479
"315420 Resende Costa";936
"315430 Resplendor";1851
"315440 Ressaquinha";355
"315445 Riachinho";107
"315450 Riacho dos Machados";1184
"315460 Ribeirão das Neves";64463
"315470 Ribeirão Vermelho";737
"315480 Rio Acima";2590
"315490 Rio Casca";1317
"315510 Rio do Prado";56
"315500 Rio Doce";395
"315520 Rio Espera";96
"315530 Rio Manso";407
"315540 Rio Novo";930
"315550 Rio Paranaíba";1543
"315560 Rio Pardo de Minas";327
"315570 Rio Piracicaba";3762
"315580 Rio Pomba";2962
"315590 Rio Preto";378
"315600 Rio Vermelho";230
"315610 Ritápolis";499
"315620 Rochedo de Minas";209
"315630 Rodeiro";2192
"315640 Romaria";224
"315645 Rosário da Limeira";133
"315650 Rubelita";68
"315660 Rubim";220
"315670 Sabará";37263
"315680 Sabinópolis";873
"315690 Sacramento";5055
"315700 Salinas";3308
"315710 Salto da Divisa";545
"315720 Santa Bárbara";13886
"315725 Santa Bárbara do Leste";273
"315727 Santa Bárbara do Monte Verde";102
"315730 Santa Bárbara do Tugúrio";241
"315733 Santa Cruz de Minas";989
"315737 Santa Cruz de Salinas";24
"315740 Santa Cruz do Escalvado";348
"315750 Santa Efigênia de Minas";128
"315760 Santa Fé de Minas";48
"315765 Santa Helena de Minas";82
"315770 Santa Juliana";2708
"315780 Santa Luzia";55342
"315790 Santa Margarida";467
"315800 Santa Maria de Itabira";1527
"315810 Santa Maria do Salto";44
"315820 Santa Maria do Suaçuí";621
"315920 Santa Rita de Caldas";1156
"315940 Santa Rita de Ibitipoca";209
"315930 Santa Rita de Jacutinga";213
"315935 Santa Rita de Minas";303
"315950 Santa Rita do Itueto";104
"315960 Santa Rita do Sapucaí";13302
"315970 Santa Rosa da Serra";99
"315980 Santa Vitória";3655
"315830 Santana da Vargem";1437
"315840 Santana de Cataguases";200
"315850 Santana de Pirapama";164
"315860 Santana do Deserto";296
"315870 Santana do Garambéu";133
"315880 Santana do Jacaré";271
"315890 Santana do Manhuaçu";447
"315895 Santana do Paraíso";15568
"315900 Santana do Riacho";453
"315910 Santana dos Montes";91
"315990 Santo Antônio do Amparo";1179
"316000 Santo Antônio do Aventureiro";221
"316010 Santo Antônio do Grama";406
"316020 Santo Antônio do Itambé";35
"316030 Santo Antônio do Jacinto";80
"316040 Santo Antônio do Monte";9531
"316045 Santo Antônio do Retiro";27
"316050 Santo Antônio do Rio Abaixo";60
"316060 Santo Hipólito";85
"316070 Santos Dumont";13004
"316080 São Bento Abade";214
"316090 São Brás do Suaçuí";743
"316095 São Domingos das Dores";160
"316100 São Domingos do Prata";2819
"316105 São Félix de Minas";112
"316110 São Francisco";877
"316120 São Francisco de Paula";650
"316130 São Francisco de Sales";1411
"316140 São Francisco do Glória";128
"316150 São Geraldo";359
"316160 São Geraldo da Piedade";201
